sexo_M,posse_de_veiculo_Y,posse_de_imovel_Y,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,mau
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False
1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,False
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,False
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,False
1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,False
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,False
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,False
1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,False
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,False
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,False
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,False
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,False
0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,False
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,True
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,False
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,False
1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,False
1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,False
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,False
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,False
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,False
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,True
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,False
1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,False
1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,False
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False
1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,False
1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,False
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,False
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,False
0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False
1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,False
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,False
1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,False
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,False
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,False
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,False
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,False
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,False
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,False
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,False
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,False
1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,False
1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,False
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,True
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,False
0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,False
0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,False
0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,False
1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,False
1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,False
0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,False
0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,False
0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,False
0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,False
1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,False
1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,False
1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,False
0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,False
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,False
1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,False
0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,False
0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,False
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,False
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,False
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,False
0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,False
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,False
0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,False
